GWAP,LWAP,FLOW_VIS,RESERVE_GWAP_Fr,RESERVE_GWAP_Ru,RESERVE_GWAP_Rd,RESERVE_GWAP_Dr,Hourly Demand,RAINFALL_Catbalogan,TMAX_Catbalogan,TMIN_Catbalogan,RAINFALL_Roxas City,TMAX_Roxas City,TMIN_Roxas City,RAINFALL_Catarman,TMAX_Catarman,TMIN_Catarman,RAINFALL_Maasin,TMAX_Maasin,TMIN_Maasin,RAINFALL_Dumaguete,TMAX_Dumaguete,TMIN_Dumaguete
746.8845328668109,1244.863073,-44.0,,,,,21047.0,10.1,26.0,22.5,0.0,27.6,24.7,2.3,27.2,23.8,60.2,26.0,22.0,16.9,27.9,24.5
764.5536996789575,1243.055754,-44.0,,,,,21522.0,-1.0,27.8,24.0,1.5,27.5,25.1,3.9,27.8,23.6,86.2,23.4,21.8,8.4,26.6,24.6
1735.5038921098353,2420.085856,0.0,,,,,25200.0,0.0,30.0,22.0,0.5,28.1,25.2,0.1,28.9,24.5,46.4,25.2,22.0,0.7,28.0,25.7
1838.5855391021369,1972.98525,55.18000000000001,,,,,26664.0,2.8,27.4,22.0,1.5,30.0,25.0,2.3,27.9,23.0,0.0,27.5,23.0,0.0,30.1,25.4
2520.8510037421634,2654.66752,66.61,,,,,27426.0,0.9,28.5,23.2,16.0,29.0,25.1,1.6,28.7,20.6,4.8,26.0,23.0,0.5,29.1,24.9
2850.9525539541587,3033.469442,148.06,,,,,29159.0,-1.0,30.5,22.0,0.0,29.0,25.2,0.4,29.9,23.7,0.0,29.0,23.0,0.0,29.9,24.7
3316.816063551204,3450.91524,68.22,,,,,29898.0,45.7,27.0,22.8,0.0,29.0,25.3,3.6,28.9,23.4,0.0,28.0,22.0,-1.0,30.1,25.5
3840.433373614198,4010.545708,79.49,,,,,29383.0,0.1,31.5,23.2,0.0,29.2,25.7,23.8,30.1,22.3,0.0,31.2,23.4,0.0,29.8,24.7
2288.9074598130323,2606.507647,71.07,,,,,28861.0,0.8,30.6,22.9,0.0,29.8,25.6,0.0,29.0,22.4,0.0,29.0,23.9,-1.0,30.4,26.4
4225.013792278892,4473.569388,0.0,,,,,32390.0,0.0,32.2,24.1,0.0,30.0,26.0,1.4,29.7,24.3,-1.0,29.5,24.0,0.0,31.0,26.0
9371.970295570658,9748.140568,-1188.0,,,,,33316.0,0.6,32.0,22.4,0.0,30.2,26.2,0.6,30.0,24.0,0.0,29.0,24.5,0.0,31.1,26.3
8720.638915,9008.478024,-2222.0,,,,,33152.0,0.1,32.0,21.5,0.0,30.0,25.4,0.0,30.1,24.6,6.0,29.0,24.0,0.0,30.1,26.4
8537.957249,8793.39667,-1474.0,,,,,32597.0,0.0,30.0,21.8,-1.0,28.8,25.0,-1.0,29.5,24.5,0.0,27.0,24.4,-1.0,29.3,26.0
4284.976250526568,4416.621742,-418.0,,,,,31508.0,0.0,30.5,19.6,0.0,28.5,24.5,-1.0,29.0,23.6,0.0,28.0,24.0,0.0,29.0,24.7
3657.586393603692,3764.512647,-528.0,,,,,30356.0,0.0,32.0,23.0,0.0,29.0,24.7,0.1,28.8,24.0,0.0,29.2,24.4,0.0,29.5,25.4
2767.711028117738,2860.425087,-176.0,,,,,29369.0,0.0,32.0,23.0,0.0,30.0,25.0,0.0,30.0,25.2,0.0,28.8,23.8,0.0,29.2,25.5
7333.498449707881,7503.741729,5828.09,7176.144740768281,10945.798761538465,0.0,8.41307501510543,32338.0,0.0,31.3,23.0,0.0,29.0,25.5,0.0,29.3,24.5,5.6,27.6,22.0,0.7,29.8,25.4
6397.551180686733,6583.569667,56821.9,2407.0565197417336,4193.432235730858,1.875e-05,724.107652669074,33145.0,30.4,29.2,23.0,0.0,28.8,25.6,44.7,29.7,23.0,3.4,26.0,22.0,1.2,29.7,25.0
6780.453411075685,7027.32466,52720.32,3035.1155413194447,6015.71523271028,0.0075861111111111,2.4274230820159493,33952.0,0.6,29.5,23.2,0.0,29.0,25.6,20.3,28.0,22.0,0.0,29.0,24.0,0.0,30.3,26.4
10085.331950088554,10398.4471,64257.2,5841.782535612606,8263.382149585921,0.0149999999999999,93.09641082917362,34580.0,0.6,32.0,24.2,0.0,29.8,25.4,0.0,29.5,23.0,0.0,31.0,24.8,0.0,30.6,26.3
22985.978644175444,23477.23368,84424.9,16820.970289438097,8029.050897038326,0.0,471.77436136614546,34621.0,-1.0,32.5,23.3,0.0,31.0,25.6,7.6,28.1,22.0,-1.0,29.4,24.4,0.0,30.4,25.5
14905.615964912931,15429.48683,56391.92,10636.48824965278,15311.557260565338,0.0,799.3851232374852,34140.0,5.2,30.0,24.0,0.0,30.3,25.9,12.2,28.9,22.5,5.4,28.0,24.0,0.0,30.2,25.6
19331.659146331735,19760.6626,80690.04,15430.542497096229,18466.33145063452,0.0169244318181818,1022.1826219259598,32412.0,30.9,29.6,23.6,0.0,30.7,26.3,69.0,30.1,23.7,22.0,25.8,23.2,0.0,30.6,26.5
24701.57952,25474.45252,74386.4,19513.27028506011,16065.388613092784,0.0,6219.393292454111,34464.0,19.0,29.0,23.6,0.5,30.0,26.1,57.5,28.0,24.0,103.4,27.2,22.0,6.6,28.1,25.4
22734.617212026133,23448.22829,91198.76,17778.984291427947,15941.0501796,0.028270238095238,356.675745738931,33990.0,21.7,26.5,24.0,12.0,27.7,25.4,45.2,28.5,23.0,8.2,27.0,24.0,13.8,28.1,25.5
8384.336111147022,8768.909929,53472.5,4814.869517361111,6606.745762509979,697.9679558050565,267.37936911779667,34433.0,7.2,29.0,24.0,0.0,30.0,26.5,4.0,27.1,23.5,0.0,29.0,25.0,0.4,30.3,26.9
37460.19922885465,38588.27625,52103.21,14569.543090196905,27673.72543324988,0.0001827747121738,777.6753234512553,37593.0,73.1,32.0,23.1,1.5,30.3,26.4,41.4,29.2,21.8,3.0,30.0,24.8,0.0,30.2,26.0
35590.51967739958,36662.07342,78374.43000000001,23383.84484341103,11530.295874998135,137.7484081145585,2104.0342181584706,37762.0,33.8,33.1,23.2,-1.0,29.7,25.7,0.0,31.0,23.5,1.2,29.0,23.8,0.0,30.4,25.9
12747.435725672714,13436.72005,64916.53,12027.59580117162,2111.0267196706245,564.0362217804636,418.7860489215968,36373.0,-1.0,33.0,24.0,6.0,30.8,25.6,4.6,30.5,22.4,0.0,29.0,24.0,0.0,30.1,25.1
