GWAP,LWAP,FLOW_MIN,RESERVE_GWAP_Fr,RESERVE_GWAP_Ru,RESERVE_GWAP_Rd,RESERVE_GWAP_Dr,Hourly Demand,RAINFALL_Davao City,TMAX_Davao City,TMIN_Davao City,RAINFALL_Surigao,TMAX_Surigao,TMIN_Surigao,RAINFALL_Zamboanga,TMAX_Zamboanga,TMIN_Zamboanga,RAINFALL_Dipolog,TMAX_Dipolog,TMIN_Dipolog,RAINFALL_Butuan,TMAX_Butuan,TMIN_Butuan,RAINFALL_Malaybalay,TMAX_Malaybalay,TMIN_Malaybalay,RAINFALL_General Santos,TMAX_General Santos,TMIN_General Santos,RAINFALL_Cotabato,TMAX_Cotabato,TMIN_Cotabato
7986.162887503458,8308.36837,0.0,0.0013375129003944,2926.2225247852425,23556.485529048536,21085.690148504626,29498.0,0.3,29.6,24.1,19.4,28.5,23.0,1.8,33.0,23.5,0.1,32.4,25.4,23.0,26.2,22.5,0.4,27.8,19.0,-1.0,32.0,22.6,0.0,32.0,23.0
1703.3744726256807,1794.400681,0.0,0.0004731700748023,0.0005120521806853,30502.60777841803,8600.833262226986,30967.0,19.5,28.9,23.4,36.8,30.4,23.0,1.0,34.5,24.3,23.0,31.2,23.2,61.6,29.0,23.0,41.0,26.8,19.0,8.6,29.0,21.0,7.5,31.4,22.8
4950.363216946701,5199.120559,0.0,0.0018748704767259,5.2860411899313504e-05,27326.198063049887,30414.33176265644,34909.0,2.0,30.0,24.8,13.6,26.5,23.0,0.6,34.4,24.5,148.8,29.2,24.2,5.0,29.6,23.0,8.8,27.5,19.8,0.0,30.9,21.8,9.0,31.2,23.4
4230.427969237649,4457.543753,0.0,0.0022889757389372,0.0,27973.528855052635,9854.434540736343,35837.0,2.4,29.6,24.8,4.2,26.8,22.8,15.9,30.7,24.7,7.4,28.5,23.2,0.6,28.4,23.6,5.0,29.0,19.6,0.0,30.9,23.4,25.2,32.4,23.0
13689.111498731276,14402.25235,0.0,0.0020642703498245,0.0,19049.17600121002,12625.554874155732,37220.0,12.8,31.0,24.3,6.5,29.8,23.9,1.8,32.0,25.5,1.9,31.7,23.5,0.2,33.9,23.5,1.4,29.5,18.4,0.0,31.8,23.5,2.1,32.6,23.6
16946.166883822072,17874.70908,0.0,0.0,0.0,15521.936464179233,31061.74895530979,38312.0,9.0,32.8,23.2,103.8,30.2,22.1,0.0,35.3,24.0,0.6,31.8,25.4,33.6,33.1,23.2,5.3,32.0,19.5,-1.0,32.7,23.0,-1.0,33.4,23.4
7455.974184951105,7854.697514,0.0,0.0,0.0,24900.201393724594,14974.983815164502,35186.0,1.1,28.0,24.0,101.4,27.0,22.2,8.1,35.0,23.8,8.4,30.4,23.0,9.9,28.5,22.5,1.8,28.0,19.1,-1.0,27.7,22.9,-1.0,29.2,22.6
1301.244607,1370.242347,0.0,0.0,0.0005599315068493,30789.904065926883,8919.911574653244,32244.0,0.6,28.9,24.0,152.0,27.0,22.0,0.0,34.4,23.7,7.2,28.5,22.8,21.0,26.5,23.2,2.0,26.0,19.0,0.0,30.8,23.4,0.0,30.6,23.0
10720.12388774875,11295.81677,0.0,0.002167382423798,0.0004478987993138,22355.306948296187,12796.78939143433,36827.0,-1.0,30.5,24.7,14.0,27.5,24.0,0.0,33.2,24.5,11.1,29.5,24.4,101.3,25.6,22.4,1.2,29.0,20.0,6.8,31.5,22.4,0.0,31.5,23.2
7234.420096172133,7558.023539,0.0,4.6601372701149435,3.410165933908046,24331.938590252183,8432.172038074774,36958.0,0.0,29.0,23.9,109.7,26.0,22.8,79.5,31.8,23.0,22.7,29.9,23.8,12.6,26.1,23.2,0.2,27.6,20.0,3.4,28.4,23.0,11.0,31.8,22.5
3678.736513038733,3823.12592,0.0,0.0023858328479906,0.0,26087.92918828552,8917.84801153541,35774.0,-1.0,30.2,23.8,67.4,26.8,22.6,103.2,28.7,22.8,185.3,26.9,23.0,9.1,31.0,23.9,47.6,30.5,19.0,3.6,26.3,22.1,4.2,28.2,22.4
30.550610570090676,43.87571815,0.0,0.0024146228738114,0.00070872456964,32677.36812011668,10939.803512462564,35546.0,0.2,31.8,24.3,82.0,26.0,23.0,0.0,31.7,23.3,7.9,27.6,23.7,11.5,27.5,24.0,8.7,28.6,19.8,0.2,29.8,21.9,2.0,30.0,22.7
162.9934564412265,170.0201437,0.0,0.0021441063396478,0.0007146544211302,31881.44326008611,14432.733185114392,37248.0,100.0,32.6,24.3,73.0,25.5,22.4,14.0,32.6,24.4,5.5,27.2,24.0,1.5,27.5,23.4,0.2,28.5,20.2,2.2,30.2,23.9,3.0,30.6,22.7
164.97559007388207,171.8506793,0.0,0.0021228297275278,0.0007449556093623,31848.335609615955,13541.824535327827,35173.0,3.7,29.6,25.6,6.5,26.6,22.9,2.8,28.6,24.0,6.2,28.7,23.6,5.2,27.0,23.5,8.6,27.0,19.5,3.2,28.6,23.7,18.4,29.6,23.2
5407.833848,5629.01462,0.0,0.0019310191924684,0.0006652765583845,27508.982547783093,17056.451852076567,34165.0,0.0,32.0,26.0,0.0,30.0,23.6,0.0,32.5,24.5,4.2,32.0,23.5,0.0,30.8,24.1,5.0,31.5,20.5,0.0,30.5,23.6,-1.0,30.0,23.3
2895.383907028219,3025.485694,0.0,37252.275062464614,0.0005022419876506,29746.233222970248,10957.533845298763,38939.0,0.0,33.0,25.0,-1.0,31.0,24.0,0.0,32.7,23.7,0.2,31.8,24.0,14.7,31.7,24.2,22.2,31.5,19.6,-1.0,30.6,23.0,-1.0,30.0,23.5
2067.2469020889653,2160.352079,0.0,0.0016655115461998,0.0003614372469635,30076.864305265834,10769.897710618618,39177.0,0.0,30.1,24.0,0.1,30.0,24.0,0.0,32.7,23.3,1.2,32.3,24.0,16.8,31.6,23.0,1.0,30.5,19.0,6.0,31.3,22.3,0.0,32.0,24.0
3069.3557789663664,3219.633299,0.0,0.0026296052631578,0.0003375,28741.888238616673,5084.311146811242,39118.0,0.2,32.6,24.0,-1.0,30.4,23.6,3.2,34.3,24.2,25.6,32.5,24.2,0.2,32.0,23.7,0.2,31.0,18.5,6.0,31.7,22.1,22.0,33.8,22.8
2183.4736564775717,2291.834449,0.0,0.0026794212218649,6.36e-05,29905.563145826694,10414.75863773509,39563.0,0.0,32.4,25.7,19.3,31.2,24.0,0.0,33.4,23.3,0.5,31.7,25.1,0.8,31.5,24.5,0.0,31.5,19.5,0.0,32.1,23.3,0.0,33.6,23.2
821.8827314664653,862.2312126,0.0,0.0017780054836191,0.0002712571196094,30208.4388978114,9121.603358606735,40104.0,0.0,33.0,24.6,15.9,30.8,24.5,-1.0,33.7,24.1,1.9,32.2,25.8,12.2,32.0,23.2,8.6,32.0,19.0,0.0,32.1,22.8,6.3,30.6,22.8
4542.282362,4749.410116,0.0,0.0026729476584022,0.0001930693069306,27447.15156128074,8840.653444346404,35987.0,2.0,29.4,23.9,29.8,30.0,22.9,0.0,33.8,24.0,3.6,30.7,24.3,26.8,30.2,23.0,10.7,28.0,19.1,0.4,27.3,23.6,0.3,31.6,22.6
21.471179842538714,22.43948869,0.0,0.0019657239216614,0.0004764975041597,32036.003827475077,13951.13352467941,32322.0,0.1,27.6,23.0,67.0,26.0,23.0,0.0,32.9,24.1,9.6,28.2,24.4,17.7,25.4,23.0,4.4,24.0,18.5,0.0,31.4,24.5,-1.0,29.6,22.4
35.126726641944316,36.60072591,0.0,0.0023085588072887,0.0002578512396694,29294.253394311625,10815.452180813752,36159.0,28.2,28.5,23.9,83.1,29.0,23.5,5.6,33.1,24.4,2.7,29.5,25.0,8.9,27.1,22.9,8.6,26.2,18.5,2.2,27.0,22.7,14.6,29.6,22.5
269.79875033130634,282.7659673,0.0,0.0026824357620556,0.0002609233305853,27237.01187863793,3305.54643706657,36804.0,24.4,30.0,23.6,7.0,29.0,23.7,11.1,31.7,23.9,3.2,30.2,25.1,7.0,28.5,22.0,1.9,29.0,19.0,23.0,30.8,22.8,36.0,31.4,22.9
1035.0824747682802,1081.949523,0.0,0.0024083539129357,0.0004033417935702,26842.443244249906,0.0006385365406363,36063.0,4.2,27.1,22.8,39.7,30.2,23.4,0.0,32.3,23.0,2.0,30.8,24.4,41.2,29.8,22.7,7.4,28.0,18.0,-1.0,29.5,21.8,0.0,30.8,23.0
3123.556363683439,3280.745265,0.0,0.0026898963730569,0.0003902563059397,26562.274326560982,15851.334047227769,37362.0,0.4,29.8,24.2,18.1,27.5,24.0,0.0,32.4,23.7,8.0,29.0,24.5,2.0,27.3,22.9,1.2,29.6,19.8,0.0,30.3,22.7,0.0,31.2,23.2
4405.2184243219845,4609.867054,0.0,5935.83970112761,1.273851455906822,19543.495500680623,9279.03121487742,39242.0,4.4,31.5,24.2,1.8,30.1,23.5,0.0,34.4,24.0,9.3,31.9,24.0,38.6,31.0,22.8,0.0,30.5,19.2,0.0,31.9,22.3,0.3,32.6,23.0
4875.262321476425,5098.753447,0.0,0.0017085031663788,6.735159817351597e-05,27239.07735260709,2468.4442903664094,37834.0,0.2,33.0,25.2,12.1,30.2,23.8,-1.0,32.5,24.0,1.8,31.6,25.2,35.4,31.5,23.7,6.0,32.5,19.4,5.0,32.4,22.5,1.0,32.5,23.6
1602.4608160172413,1670.724146,0.0,0.0027190837800277,0.0008791497975708,30503.76610849398,8735.595139376874,34301.0,0.9,29.0,24.0,133.5,26.0,22.0,2.6,32.4,24.2,-1.0,30.8,25.5,48.0,27.5,23.5,3.4,23.5,18.5,3.4,30.3,23.5,-1.0,30.4,23.3
3837.886295441778,4027.256122,0.0,0.0016725570509069,0.0007384204275534,29343.20896209546,9989.619040880132,37840.0,2.4,30.6,24.8,15.1,26.0,24.0,4.0,31.3,24.7,7.5,29.5,25.0,4.0,26.8,22.6,1.2,26.5,19.0,11.2,30.1,23.5,16.0,31.4,23.2
5160.539443681599,5390.969954,0.0,6.522435897435897e-05,1.037567729534148,9009.905935567887,12309.608432266954,39232.0,-1.0,32.1,25.3,41.2,27.0,23.0,82.8,31.1,22.2,48.9,32.0,23.5,5.8,29.4,23.5,2.2,29.5,19.0,0.0,32.1,22.0,6.6,33.7,23.6
5680.046910193147,5948.682939,0.0,0.0009504891667462,0.0,264.15106711873085,9277.109454003514,39634.0,10.4,32.0,25.2,8.7,30.1,24.4,0.0,34.3,24.4,25.7,30.3,24.0,4.3,31.1,23.6,9.4,29.5,19.5,0.4,32.5,23.8,1.1,32.8,23.4
5756.1211373857195,6030.178273,0.0,53.7764999131656,0.0,0.0,9877.774845332164,40088.0,3.5,32.4,24.3,5.7,30.8,24.5,4.4,32.3,23.8,-1.0,31.5,25.0,3.6,32.3,23.1,1.6,32.0,18.5,0.0,33.1,22.8,1.6,33.6,23.0
